period_begin,San Francisco,San Diego,Los Angeles,CA_average
2017-01-02,1229018.7,618570.8,611561.0,492258.4377358491
2017-01-09,1233393.7,621737.5,614061.0,493710.6396226416
2017-01-16,1239977.0,625820.8,617311.0,495369.4169811322
2017-01-23,1247977.0,629491.6,620644.3,497191.662264151
2017-01-30,1253310.4,632824.0,624541.6,499286.2075471699
2017-02-06,1258643.7,636571.9,628700.0,500903.74716981134
2017-02-13,1265083.3,639080.2,632445.8,502455.4679245284
2017-02-20,1273083.3,641163.5,635487.5,504475.2150943397
2017-02-27,1281000.0,643746.9,638070.8,506523.5301886793
2017-03-06,1287000.0,646654.2,640562.5,507711.30943396233
2017-03-13,1288583.3,649570.9,642645.8,502868.4981481482
2017-03-20,1285416.6,651987.5,644729.1,503645.10555555555
2017-03-27,1283000.0,652895.9,646479.1,504260.95
2017-04-03,1281875.0,653812.5,648479.1,504894.7870370371
2017-04-10,1279375.0,653895.8,649395.8,505193.04259259265
2017-04-17,1275541.6,653979.1,650229.1,505753.6111111112
2017-04-24,1270541.6,653971.8,650312.5,506080.68703703705
2017-05-01,1267541.6,653140.5,650320.8,506028.7277777779
2017-05-08,1261166.6,653140.5,650325.0,505981.9685185186
2017-05-15,1257333.3,653140.5,650325.0,505772.44999999995
2017-05-22,1249333.3,652390.5,650325.0,505502.4537037037
2017-05-29,1245375.0,651558.2,650333.3,505327.837037037
2017-06-05,1243791.6,650641.5,650333.3,500549.9272727274
2017-06-12,1243708.3,649808.2,650325.0,500755.22181818186
2017-06-19,1246208.3,649733.2,650316.6,500865.1836363636
2017-06-26,1246291.6,649316.6,649975.0,500663.43454545457
2017-07-03,1248458.3,648900.0,649966.6,500509.2672727273
2017-07-10,1252291.6,648816.6,649958.3,500493.4072727274
2017-07-17,1257291.6,648741.6,649958.3,500601.6909090909
2017-07-24,1259625.0,648325.0,649958.3,500600.1072727273
2017-07-31,1263708.3,647908.3,650458.3,500790.86545454554
2017-08-07,1270458.3,646991.6,651270.8,501416.4218181818
2017-08-14,1279333.3,646075.0,652020.8,502289.15818181826
2017-08-21,1285625.0,645166.6,652687.5,503241.04181818175
2017-08-28,1289375.0,644416.6,653095.8,504340.4981818182
2017-09-04,1293208.3,644416.6,653812.5,505464.8036363637
2017-09-11,1294458.3,644083.3,653820.8,506506.1781818182
2017-09-18,1298500.0,644104.1,653829.1,507850.0927272728
2017-09-25,1300583.3,643679.1,653837.5,509367.2654545455
2017-10-02,1300916.6,643345.8,653845.8,510835.77090909093
2017-10-09,1301333.3,643345.8,653845.8,512552.7272727273
2017-10-16,1301000.0,643679.1,653845.8,514507.68363636365
2017-10-23,1299416.6,643257.9,653345.8,515217.78909090906
2017-10-30,1296500.0,643341.2,653200.0,516384.88000000006
2017-11-06,1295958.3,644174.5,653200.0,516947.7018181818
2017-11-13,1295541.6,645007.9,653283.3,517427.5890909092
2017-11-20,1295791.6,645757.9,653625.0,518535.30909090914
2017-11-27,1299708.3,645841.2,654166.6,518913.6381818181
